word_name;sounds_like;display_as
TV-Dienste;te fau dienste;TV-Dienste
TV-Sendervielfalt;te fau sendervielfalt;TV-Sendervielfalt
Tarifanalyse;tarifanalyse;Tarifanalyse
Tarifberatung;tarifberatung;Tarifberatung
Technikhotline;technikhotline;Technikhotline
Telefonica-Netz;telefonicanetz;Telefonica-Netz
Telekommunikationsdienste;telekommunikationsdienste;Telekommunikationsdienste
Telekommunikationsdiensten;telekommunikationsdiensten;Telekommunikationsdiensten
Telesales;telesales;Telesales
Treuekarte;treuekarte;Treuekarte
Upload-Geschwindigkeit;uploadgeschwindigkeit;Upload-Geschwindigkeit
VIP-Kunde;Wie Ei Pi Kunde,vipkunde;VIP-Kunde
VIP-Servicenummer;Wie Ei Pi Servicenummer,vipservicenummer;VIP-Servicenummer
Verbindungsart;verbindungsart;Verbindungsart
Verkaufsabschluss;verkaufsabschluss;Verkaufsabschluss
Vertragsbezogener;vertragsbezogener;Vertragsbezogener
Vertragsjahren;vertragsjahren;Vertragsjahren
Vertragsverl�ngerung;vertragsverlyngerung;Vertragsverl�ngerung
W-LAN;welan;W-LAN
Waipu-TV;waipu te fau,waipu ti vi;Waipu-TV
Waipu.TV;waipu punkt te fau;Waipu.TV
Werbeerlaubnis;werbeerlaubnis;Werbeerlaubnis
Werbeunterbrechung;werbeunterbrechung;Werbeunterbrechung
Winteraktion;winteraktion;Winteraktion
You.tv;you te fau,you ti vi;You.tv
You.tv:;you punkt te fau;You.tv:
Zed;zed;Zed
Zeitschriftenflat;zeitschriftenflat;Zeitschriftenflat
Zeitschriftenflatrate;zeitschriftenflatrate;Zeitschriftenflatrate
Zeitvertrieb;zeitvertrieb;Zeitvertrieb
Zufriedenheitsfrage;zufriedenheitsfrage;Zufriedenheitsfrage
breitbandmessung.de;breitbandmessung punkt de eh;breitbandmessung.de
durchrufen;durchrufen;durchrufen
freenet-group.de;frienettgroup punkt de eh;freenet-group.de
freenet;frienett;freenet
frühjahrsaktion;frühjahrsaktion;frühjahrsaktion
frühlingsaktion;frühlingsaktion;frühlingsaktion
herbstaktion;herbstaktion;herbstaktion
kbit/s;k bits;kbit/s
klarmobil.de;klarmobil de eh,klarmobil punkt de eh;klarmobil.de
md.de;emm de de eh,emm de punkt de eh;md.de
mobilcom-debitel;mobilcomdebitel;mobilcom-debitel
s-kon;esskon;s-kon
sommeraktion;sommeraktion;sommeraktion
SMS; ess em ess;SMS
waipu;waipu;waipu
waipu.tv;waipu punkt te fau;waipu.tv
winteraktion;winteraktion;winteraktion
